,title,description,source.name,Date,Year,Month,Day
0,Why New York State Is Experiencing a Bitcoin Boom,"Cryptocurrency miners are flocking to New York’s faded industrial towns, prompting concern over the environmental impact of huge computer farms.",New York Times,2021-12-06 00:42:28,2021,12,6
1,Nothing's 'Black Edition' brings a modern touch to its funky Ear 1 buds,"Earlier this year, Nothing released a pair of relatively cheap $99 Ear 1 earbuds with a fun transparent case, wireless charging and decent sound quality. Now, the company (created by OnePlus cofounder Carl Pei) has unveiled the new Ear 1 ""Black Edition"" that …",Engadget,2021-12-01 14:45:18,2021,12,1
2,Explainer: What we know so far about El Salvador's volcano-powered bitcoin bond - Reuters,"El Salvador plans to build the world's first <a href=""https://www.reuters.com/markets/rates-bonds/el-salvador-plans-first-bitcoin-city-backed-by-bitcoin-bonds-2021-11-21"" target=""_blank"">""Bitcoin City""</a> with money from a $1 billion bitcoin-backed bond the …",Reuters,2021-11-22 23:35:00,2021,11,22
3,El Salvador plans 'Bitcoin City' - Reuters,"After becoming the first country to accept the cryptocurrency as legal tender, El Salvador plans to build the world's first Bitcoin City, funded initially by bitcoin-backed bonds.",Reuters,2021-11-22 12:01:51,2021,11,22
4,Nothing’s debut earbuds now come in black,Nothing’s Ear 1 earbuds will soon come in black. They’ll be widely available from December 13th at the same price as the original white versions: $99 / £99.,The Verge,2021-12-01 12:00:00,2021,12,1
5,Self-proclaimed bitcoin inventor largely prevails in $54 billion bitcoin trial - Reuters.com,A computer scientist who has claimed to be the inventor of bitcoin largely prevailed on Monday in a Florida jury trial over whether the estate of a former business partner deserved half of a bitcoin cache worth now about $54 billion.,Reuters,2021-12-06 22:27:00,2021,12,6
6,The Morning After: Adele has the power to remove the shuffle button,"Spotify has removed the shuffle button from all album pages after Adele pressed the company for the change in time for the launch of her album 30. According to her own tweet
, albums should be listened to ""as [artists] intended"" as they tell ""a story."" If yo…",Engadget,2021-11-22 12:15:13,2021,11,22
7,Australian Baseball League club Perth Heat to pay players in bitcoin,"The Heat says it is the first professional sports club in the world to ‘fully embrace’ bitcoin after partnering with a cryptocurrency payment companyAustralian Baseball League club Perth Heat will pay its players in bitcoin, after partnering with a cryptocurr…",The Guardian,2021-11-17 07:00:46,2021,11,17
8,Bitcoin falls 8.4% to $49228.82 - Reuters,"Bitcoin dropped 8.4% to $49,228.82 at 20:01 GMT on Saturday, losing $4,514.87 from its previous close.",Reuters,2021-12-04 20:13:00,2021,12,4
9,Bitcoin plunges by a fifth - Reuters.com,Bitcoin shed a fifth of its value on Saturday as a combination of profit-taking and macro-economic concerns triggered nearly a billion dollars worth of selling across cryptocurrencies.,Reuters,2021-12-04 19:55:07,2021,12,4
10,Bitcoin plunges by a fifth - Reuters.com,Bitcoin shed a fifth of its value on Saturday as a combination of profit-taking and macro-economic concerns triggered nearly a billion dollars worth of selling across cryptocurrencies. Fred Katayama reports.,Reuters,2021-12-04 19:35:10,2021,12,4
11,Bitcoin tumbles 5.5% to $53436 - Reuters,"Bitcoin plunged 5.5% to $53,435.9 at 22:04 GMT on Friday, losing $3,112.06 from its previous close.",Reuters,2021-12-03 22:18:00,2021,12,3
12,Bitcoin falls 9.2% to $48782 - Reuters,"Bitcoin dropped 9.29% to $48,752.15 at 22:01 GMT on Saturday, losing $4,991.54 from its previous close.",Reuters,2021-12-04 22:05:00,2021,12,4
13,Bitcoin tumbles 5% after weekend battering - The Globe and Mail,"<ol><li>Bitcoin tumbles 5% after weekend battering  The Globe and Mail
</li><li>Bitcoin price plummets after steep weekend decline  Globalnews.ca
</li><li>The crypto market had a rough weekend --bitcoin falls through $50,000  ForexLive
</li><li>Shock to cr…",The Globe And Mail,2021-12-06 12:10:30,2021,12,6
14,Explainer: What we know about El Salvador's bitcoin bond - Reuters.com,"El Salvador plans to build the world's first ""Bitcoin City"" with money from a $1 billion bitcoin-backed bond, according to the country's President Nayib Bukele. Here is what we know about the proposed bond and some of the details that still need to be filled …",Reuters,2021-11-23 17:46:58,2021,11,23
15,"CIA Director: Duh, Of Course, the CIA Is Into Cryptocurrency","In a disclosure that should surprise no one, the head honcho at the CIA has confirmed that the intelligence agency has multiple projects related to cryptocurrency.Read more...",Gizmodo.com,2021-12-08 20:10:00,2021,12,8
16,Self-proclaimed bitcoin creator hails court victory - Reuters.com,A computer scientist who has claimed to be the inventor of bitcoin largely prevailed this week in a Florida jury trial over whether the estate of a former business partner deserved half of a bitcoin cache worth more than $50 billion.  Conway G. Gittens has mo…,Reuters,2021-12-09 21:49:26,2021,12,9
17,Self-proclaimed bitcoin creator hails court victory - Reuters Australia,A computer scientist who has claimed to be the inventor of bitcoin largely prevailed this week in a Florida jury trial over whether the estate of a former business partner deserved half of a bitcoin cache worth more than $50 billion.  Conway G. Gittens has mo…,Reuters,2021-12-09 23:10:33,2021,12,9
18,Bitcoin falls back below $60000 for first time since Nov 1 - Reuters,"Bitcoin fell below $60,000 for first time since Nov. 1 on Tuesday, while the cryptocurrency ether also dropped sharply.",Reuters,2021-11-16 10:26:00,2021,11,16
19,Should You Invest in Bitcoin ETFs Now?,We highlight 3 bitcoin futures ETFs as cryptocurrencies rebound,Zacks.com,2021-11-30 18:04:00,2021,11,30
